Código IBGE;Municípios;   Ano   ;População;Porte Populacional
3512902;Cosmorama;2021; 6.976 ;Até 50 mil
3513009;Cotia;2021; 251.382 ;De 200 a 500 mil
3513108;Cravinhos;2021; 34.637 ;Até 50 mil
3513207;Cristais Paulista;2021; 8.494 ;Até 50 mil
3513306;Cruzália;2021; 2.105 ;Até 50 mil
3513405;Cruzeiro;2021; 80.128 ;De 50 a 100 mil
3513504;Cubatão;2021; 130.025 ;De 100 a 200 mil
3513603;Cunha;2021; 21.660 ;Até 50 mil
3513702;Descalvado;2021; 32.516 ;Até 50 mil
3513801;Diadema;2021; 405.596 ;De 200 a 500 mil
3513850;Dirce Reis;2021; 1.715 ;Até 50 mil
3513900;Divinolândia;2021; 10.865 ;Até 50 mil
3514007;Dobrada;2021; 8.985 ;Até 50 mil
3514106;Dois Córregos;2021; 27.151 ;Até 50 mil
3514205;Dolcinópolis;2021; 2.033 ;Até 50 mil
3514304;Dourado;2021; 8.466 ;Até 50 mil
3514403;Dracena;2021; 45.088 ;Até 50 mil
3514502;Duartina;2021; 11.941 ;Até 50 mil
3514601;Dumont;2021; 9.659 ;Até 50 mil
3514700;Echaporã;2021; 6.208 ;Até 50 mil
3514809;Eldorado;2021; 15.331 ;Até 50 mil
3514908;Elias Fausto;2021; 17.459 ;Até 50 mil
3514924;Elisiário;2021; 3.518 ;Até 50 mil
3514957;Embaúba;2021; 2.406 ;Até 50 mil
3515004;Embu;2021; 273.266 ;De 200 a 500 mil
3515103;Embu-Guaçu;2021; 68.565 ;De 50 a 100 mil
3515129;Emilianópolis;2021; 3.069 ;Até 50 mil
3515152;Engenheiro Coelho;2021; 20.884 ;Até 50 mil
3515186;Espírito Santo do Pinhal;2021; 42.639 ;Até 50 mil
3515194;Espírito Santo do Turvo;2021; 4.850 ;Até 50 mil
3515202;Estrela d'Oeste;2021; 8.083 ;Até 50 mil
3515301;Estrela do Norte;2021; 2.668 ;Até 50 mil
3515350;Euclides da Cunha Paulista;2021; 9.549 ;Até 50 mil
3515400;Fartura;2021; 15.679 ;Até 50 mil
3515509;Fernandópolis;2021; 66.131 ;De 50 a 100 mil
3515608;Fernando Prestes;2021; 5.568 ;Até 50 mil
3515657;Fernão;2021; 1.656 ;Até 50 mil
3515707;Ferraz de Vasconcelos;2021; 195.168 ;De 100 a 200 mil
3515806;Flora Rica;2021; 1.575 ;Até 50 mil
3515905;Floreal;2021; 2.842 ;Até 50 mil
3516002;Flórida Paulista;2021; 12.060 ;Até 50 mil
3516101;Florínia;2021; 2.697 ;Até 50 mil
3516200;Franca;2021; 343.801 ;De 200 a 500 mil
3516309;Francisco Morato;2021; 176.346 ;De 100 a 200 mil
3516408;Franco da Rocha;2021; 153.903 ;De 100 a 200 mil
3516507;Gabriel Monteiro;2021; 2.677 ;Até 50 mil
3516606;Gália;2021; 6.537 ;Até 50 mil
3516705;Garça;2021; 42.385 ;Até 50 mil
3516804;Gastão Vidigal;2021; 4.811 ;Até 50 mil
3516853;Gavião Peixoto;2021; 4.627 ;Até 50 mil
3516903;General Salgado;2021; 10.632 ;Até 50 mil
3517000;Getulina;2021; 10.856 ;Até 50 mil
3517109;Glicério;2021; 4.762 ;Até 50 mil
3517208;Guaiçara;2021; 12.045 ;Até 50 mil
3517307;Guaimbê;2021; 5.547 ;Até 50 mil
3517406;Guaíra;2021; 39.154 ;Até 50 mil
3517505;Guapiaçu;2021; 21.060 ;Até 50 mil
3517604;Guapiara;2021; 17.832 ;Até 50 mil
3517703;Guará;2021; 20.907 ;Até 50 mil
3517802;Guaraçai;2021; 8.400 ;Até 50 mil
3517901;Guaraci;2021; 11.050 ;Até 50 mil
3518008;Guarani d'Oeste;2021; 1.917 ;Até 50 mil
3518107;Guarantã;2021; 6.485 ;Até 50 mil
3518206;Guararapes;2021; 32.160 ;Até 50 mil
